feature_id	Parent1	Parent2
2L_10710118_10710729.0	0	0
2L_11581864_11582719.0	0	0
2L_11582864_11583080.0	0	0
2L_11588552_11589174.0	0	0
2L_11661679_11662559.0	0	0
2L_11663230_11663806.0	0	0
2L_11665215_11665846.0	0	0
2L_12024034_12025219.0	0	0
2L_12086617_12088073.0	0	0
2L_12092769_12093234.0	0	0
2L_12581506_12583539.0	0	0
2L_12840864_12841381.0	0	0
2L_13642820_13643256.0	0	0
2L_14234745_14235149.0	0	0
2L_14486023_14486839.0	0	0
2L_14496969_14498135.0	0	0
2L_14532476_14533501.0	0	0
2L_14550432_14550962.0	0	0
2L_14787485_14788014.0	0	0
2L_14839754_14840121.0	0	0
2L_15279832_15280513.0	0	0
2L_15398654_15399399.0	0	0
2L_15441586_15442376.0	0	0
2L_15515802_15516745.0	0	0
2L_15807611_15807911.0	0	0
2L_15822367_15822966.0	0	0
2L_15865315_15883206.0	0	0
2L_16965484_16965771.0	0	0
2L_17017737_17018060.0	0	0
2L_17354882_17355556.0	0	0
2L_17583319_17584544.0	0	0
2L_17584687_17585177.0	0	0
2L_17588172_17588749.0	0	0
2L_17606468_17607258.0	0	0
2L_17902827_17903063.0	0	0
2L_17948137_17948847.0	0	0
2L_17950131_17951054.0	0	0
2L_18112446_18113175.0	0	0
2L_18278563_18279510.0	0	0
2L_18302777_18303179.0	0	0
2L_18313534_18314078.0	0	0
2L_18400490_18401303.0	0	0
2L_18466642_18468081.0	0	0
2L_18468178_18469239.0	0	0
2L_18664469_18665119.0	0	0
2L_18795816_18796184.0	0	0
2L_19327282_19328001.0	0	0
2L_20464698_20465827.0	0	0
2L_20483811_20484448.0	0	0
2L_20489794_20490231.0	0	0
2L_20625139_20625532.0	0	0
2L_20625663_20626215.0	0	0
2L_20947036_20948205.0	0	0
2L_21866966_21867528.0	0	0
2L_21868225_21868869.0	0	0
2L_21869108_21869569.0	0	0
2L_21869640_21870731.0	0	0
2L_21919537_21920108.0	0	0
2L_21977298_21977662.0	0	0
2L_21999738_22000441.0	0	0
2L_22055405_22056152.0	0	0
2L_22169643_22170188.0	0	0
2L_22462738_22463083.0	0	0
2L_22705365_22706170.0	0	0
2L_22713565_22714181.0	0	0
2L_22714447_22714996.0	0	0
2L_22715085_22715570.0	0	0
2L_22715745_22715961.0	0	0
2L_22716168_22717458.0	0	0
2L_22923851_22925105.0	0	0
2L_3210520_3211409.0	0	0
2L_3268204_3268702.0	0	0
2L_3851866_3852688.0	0	0
2L_4255640_4256519.0	0	0
2L_4612565_4613604.0	0	0
2L_4614013_4614300.0	0	0
2L_5287301_5288761.0	0	0
2L_5661850_5662252.0	0	0
2L_5690532_5691832.0	0	0
2L_6138966_6139293.0	0	0
2L_6360412_6361455.0	0	0
2L_799858_800348.0	0	0
2L_858412_858976.0	0	0
2L_859035_859430.0	0	0
2L_8887436_8888049.0	0	0
2L_9031553_9031838.0	0	0
2L_9121574_9121945.0	0	0
2L_9327018_9327652.0	0	0
2LHet_170739_171435.0	0	0
2R_11259541_11259772.0	0	0
2R_12187632_12189733.0	0	0
2R_12189967_12193362.0	0	0
2R_12193544_12194199.0	0	0
2R_12253214_12253455.0	0	0
2R_12619543_12619837.0	0	0
2R_12625498_12625827.0	0	0
2R_12697969_12698823.0	0	0
2R_12699790_12700474.0	0	0
2R_12701854_12702913.0	0	0
2R_12710675_12711040.0	0	0
2R_12723495_12724001.0	0	0
2R_12725458_12726114.0	0	0
2R_12726127_12727010.0	0	0
2R_12732820_12733499.0	0	0
2R_12851797_12852429.0	0	0
2R_1288050_1288825.0	0	0
2R_13076351_13076653.0	0	0
2R_13076780_13077450.0	0	0
2R_135227_135517.0	0	0
2R_13688237_13689549.0	0	0
2R_14083913_14084231.0	0	0
2R_14115259_14116106.0	0	0
2R_14133631_14134372.0	0	0
2R_14144611_14145156.0	0	0
